id,address,capacity,latitude,longitude,parking_type
opendata_ruhver_parkseiten_line.58,Hiltenspergerstr.,17.0,48.16677598769305,11.566561734223477,Parkplatz
opendata_ruhver_parkseiten_line.59,Hiltenspergerstr.,6.0,48.16749647326439,11.566677970923159,Parkplatz
opendata_ruhver_parkseiten_line.60,Adelheidstr.,23.0,48.15990551701766,11.567949630926792,Parkplatz
opendata_ruhver_parkseiten_line.61,Adelheidstr.,23.0,48.15991876411869,11.568043792550764,Parkplatz
opendata_ruhver_parkseiten_line.62,Adelheidstr.,11.0,48.15870371372551,11.567830412047265,Parkplatz
opendata_ruhver_parkseiten_line.63,Adelheidstr.,8.0,48.15802746953527,11.567659245595308,Parkplatz
opendata_ruhver_parkseiten_line.64,Hiltenspergerstr.,32.0,48.15978741580367,11.566891708929818,Parkplatz
opendata_ruhver_parkseiten_line.65,Hiltenspergerstr.,13.0,48.16484015496946,11.566383360726864,Parkplatz
opendata_ruhver_parkseiten_line.66,Sommerstr.,21.0,48.1212117743082,11.572899377532934,Parkplatz
opendata_ruhver_parkseiten_line.67,Sommerstr.,21.0,48.12132117973923,11.573127343832523,Parkplatz
opendata_ruhver_parkseiten_line.68,Humboldtstr.,6.0,48.12083058272675,11.57217681489761,Parkplatz
opendata_ruhver_parkseiten_line.69,Schleißheimer Str.,2.0,48.15822485171409,11.562483588464932,Parkplatz
opendata_ruhver_parkseiten_line.70,Schleißheimer Str.,2.0,48.157682005839156,11.562314473347662,Parkplatz
opendata_ruhver_parkseiten_line.71,Lenbachpl.,0.0,48.141089759785544,11.568360773205178,Parkplatz
opendata_ruhver_parkseiten_line.72,Humboldtstr.,7.0,48.11990459677488,11.574454352939565,Parkplatz
opendata_ruhver_parkseiten_line.73,Pacellistr.,0.0,48.14083114249774,11.569213793026815,Parkplatz
opendata_ruhver_parkseiten_line.74,Lerchenfeldstr.,8.0,48.144129879197315,11.590831827392343,Parkplatz
opendata_ruhver_parkseiten_line.75,Himbselstr.,15.0,48.1437136080154,11.591020903389385,Parkplatz
opendata_ruhver_parkseiten_line.76,Himbselstr.,29.0,48.143644748611564,11.591670223972862,Parkplatz
opendata_ruhver_parkseiten_line.77,Boosstr.,6.0,48.124350881934035,11.57965031573431,Parkplatz
opendata_ruhver_parkseiten_line.78,Boosstr.,0.0,48.124407461766914,11.57961864226034,Parkplatz
opendata_ruhver_parkseiten_line.79,Maximilianspl.,17.0,48.141342008652586,11.570496289469904,Parkplatz
opendata_ruhver_parkseiten_line.80,Lerchenfeldstr.,30.0,48.14535410008748,11.592371859639048,Parkplatz
opendata_ruhver_parkseiten_line.81,Ganghoferstr.,10.0,48.12591985302448,11.539286834050015,Parkplatz
